Project Name,Short URL,Latitude,Longitude
The Philosophical Computer.,https://maps.app.goo.gl/WP7U3UiSru8ZXVgb7?g_st=ic,33.3492836,-115.7270508
A Gentle Place Before the End,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
Derangers Before the Playa,https://maps.app.goo.gl/gdLLfqFDyX5LadR36?g_st=ic,not found,not found
My kingdom for a crown,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,33.3495432,-115.7318949
"The Jazz Club at the DORD , sponsored by YARGER PROJECTS",https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,not found,not found
THE VOICE THAT SURVIVED THE SUN,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
The Salton Sea Museum and Library,https://maps.app.goo.gl/9xBv9RBxsDb2FWBq6,not found,not found
Initials B.B. II,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
Akasha,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
The Poetry House,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
Pharaoh and Tarot,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
The Poetry Salon,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
The Toll,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
Bombay Beach Retrospective,https://maps.app.goo.gl/ydh4eH236sjGhm8H8?g_st=ic,not found,not found
Mella Tarantella--Risorga e Balla con i Morti e Vivi alla Fine Dei Giorni,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
The Last Catch (what remains as everything drains away),https://maps.app.goo.gl/TwDBRhwf5W3CSqow9?g_st=ic,33.3474497,-115.7293750
Small Mercies (A Diptych),https://maps.app.goo.gl/ydh4eH236sjGhm8H8?g_st=ic,not found,not found
FLESH VERDICT,https://maps.app.goo.gl/khMiXhANH1tQrX6dA?g_st=ic,33.3531966,-115.7314027
Messages from Space,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,33.3495432,-115.7318949
ECOTECHNO 4DXYZ,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
My Niland II (Ten Checkpoints),https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
Cafe Bosna,https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,not found,not found
America is burning,https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,not found,not found
The Holy Sinner’s Shrine,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,33.3495351,-115.7265389
Oracle Booth,https://maps.app.goo.gl/VNb5BU2ML3mZxdRM7?g_st=ic,not found,not found
Glorious Holy Kings: Queer Heaven in Bombay Beach,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
Dino pez dispenser,https://maps.app.goo.gl/M4aRHYFgz3gvJtYr9?g_st=ic,33.3484921,-115.7293890
Butterfly Pavilion,https://maps.app.goo.gl/ANiW4vR2XaEoB6Wg8?g_st=ic,not found,not found
StarShade,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,33.3495432,-115.7318949
"The Bombay Beach Country Club, The 6th Hole @Neptune",https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,33.3495432,-115.7318949
Quesadilla Communion,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,not found,not found
Reincarnation Station,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,33.3491097,-115.7268356
Precision,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,33.3491097,-115.7268356
AI and the Apocalyptic Imagination,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,33.3491097,-115.7268356
Community Patchwork/Quilting Bee of the Damned,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,33.3491097,-115.7268356
a semisensualconductor,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,33.3491097,-115.7268356
